Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,stage1_emotion,stage1_confidence,stage1_reasoning,stage1_raw
26,Push!,Joey,joy,positive,1,7,1,23,"0:11:01,828","0:11:03,774",neutral,0.8,"Neutral, as it is a neutral and functional command without strong emotional undertones.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": ""0"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a calm and supportive, yet not strongly emotional, encouragement.""
    },
    {
      ""utterance_id"": ""1"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""2"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a series of neutral and functional directives.""
    },
    {
      ""utterance_id"": ""3"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral and functional directive.""
    },
    {
      ""utterance_id"": ""4"",
      ""predicted_emotion"": ""joy"",
      ""confidence"": 0.95,
      ""reasoning"": ""Joy, due to the enthusiastic cheer 'hey, hey, ho, ho' and positive language indicating excitement.""
    },
    {
      ""utterance_id"": ""5"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it's a neutral pause and hesitant acknowledgment without strong emotional content.""
    },
    {
      ""utterance_id"": ""6"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    },
    {
      ""utterance_id"": ""7"",
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.8,
      ""reasoning"": ""Neutral, as it is a neutral and functional command without strong emotional undertones.""
    }
  ]
}
```"
27,Okay.,Ross,neutral,neutral,2,0,5,16,"00:07:26,446","00:07:27,487",neutral,0.95,"Neutral, common filler word without strong sentiment.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
28,"Ross, didn't you say that there was an elevator in here?",Rachel,neutral,neutral,2,1,5,16,"00:07:27,655","00:07:30,574",neutral,0.9,"Neutral inquiry, neutral tone, no strong sentiment.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
29,"Uhh, yes I did but there isn't. Okay, here we go.",Ross,sadness,negative,2,2,5,16,"00:07:30,741","00:07:34,119",neutral,0.8,"Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
30,"Okay, go left. Left! Left!",Ross,surprise,negative,2,3,5,16,"00:07:35,413","00:07:37,205",surprise,0.95,"Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
31,"Okay, y'know what? There is no more left, left!",Rachel,anger,negative,2,4,5,16,"00:07:39,709","00:07:43,128",anger,0.98,"Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
32,"Oh okay, lift it straight up over your head!",Ross,anger,negative,2,5,5,16,"00:07:43,963","00:07:46,047",neutral,0.7,"Neutral instruction, neutral tone, no strong sentiment, simply directing action.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
33,Straight up over your head!,Ross,anger,negative,2,6,5,16,"0:07:46,215","0:07:47,777",neutral,0.7,"Neutral instruction, neutral tone, no strong sentiment, simply directing action.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
34,You can do it!,Ross,joy,positive,2,7,5,16,"0:07:47,777","0:07:48,648",neutral,0.6,"Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
35,You can do it!,Ross,joy,positive,2,8,5,16,"00:07:48,759","00:07:50,010",neutral,0.6,"Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
36,Okay.,Ross,neutral,neutral,2,9,5,16,"0:07:50,178","0:07:51,150",neutral,0.95,"Neutral, common filler word without strong sentiment.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
37,You got it?,Ross,neutral,neutral,2,10,5,16,"0:07:51,150","0:07:52,227",neutral,0.9,"Neutral inquiry, neutral tone, no strong sentiment.","```json
{
  ""predictions"": [
    {
      ""utterance_id"": 0,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 1,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    },
    {
      ""utterance_id"": 2,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.80,
      ""reasoning"": ""Neutral statement of fact, acknowledging previous statement and the current situation, without strong emotional expression.""
    },
    {
      ""utterance_id"": 3,
      ""predicted_emotion"": ""surprise"",
      ""confidence"": 0.95,
      ""reasoning"": ""Sudden urgency, repeated imperative, indicates an unexpected and chaotic direction.""
    },
    {
      ""utterance_id"": 4,
      ""predicted_emotion"": ""anger"",
      ""confidence"": 0.98,
      ""reasoning"": ""Expresses strong frustration and anger at being told to go left when there is no left, using an emphatic tone.""
    },
    {
      ""utterance_id"": 5,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 6,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.70,
      ""reasoning"": ""Neutral instruction, neutral tone, no strong sentiment, simply directing action.""
    },
    {
      ""utterance_id"": 7,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 8,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.60,
      ""reasoning"": ""Neutral encouragement, not strongly positive or negative, delivered in a neutral tone.""
    },
    {
      ""utterance_id"": 9,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.95,
      ""reasoning"": ""Neutral, common filler word without strong sentiment.""
    },
    {
      ""utterance_id"": 10,
      ""predicted_emotion"": ""neutral"",
      ""confidence"": 0.90,
      ""reasoning"": ""Neutral inquiry, neutral tone, no strong sentiment.""
    }
  ]
}
```"
38,"Oh, okay, I get it.",Steve,neutral,neutral,3,0,5,15,"00:05:59,776","00:06:01,777",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
39,"No wait, look. Look! I'm sorry, it's just I've never even",Ross,fear,negative,3,1,5,15,"00:06:02,153","00:06:06,823",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
40,Howard's the,Steve,neutral,neutral,3,2,5,15,"00:06:09,660","00:06:12,329",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
41,"Yes but too me he's just, man.",Ross,neutral,neutral,3,3,5,15,"00:06:13,414","00:06:17,250",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
42,"Okay, fine, whatever. Welcome to the building.",Steve,anger,negative,3,4,5,15,"00:06:17,919","00:06:23,590",neutral,0.3,Model returned empty response - fallback prediction,FALLBACK_PREDICTION
