Dialogue_ID,Utterance_ID,Recognition_ID,Speaker,Utterance,Actual_Emotion,Predicted_Emotion,Reasoning,raw_output
3,2,3_2,Steve,Howard's the,neutral,neutral,neutral tone and phrase 'Howard's the' suggests a statement of fact,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
3,3,3_3,Ross,"Yes but too me he's just, man.",neutral,disgust,phrase 'ugh' and tone suggests distaste,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
3,4,3_4,Steve,"Okay, fine, whatever. Welcome to the building.",anger,neutral,neutral tone and phrase 'fine' suggests resignation,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
3,5,3_5,Ross,"Ugh, can you believe that guy!",disgust,anger,phrase 'ugh' and tone suggests frustration,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
3,6,3_6,Phoebe,Yeah. I really like his glasses.,neutral,joy,phrase 'I really like' suggests positive sentiment,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase 'I get it' suggests acceptance""},
    {""utterance_id"": 1, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and phrase 'look' suggests sudden realization""},
    {""utteranc"
2,0,2_0,Ross,Okay.,neutral,neutral,neutral tone and phrase,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,1,2_1,Rachel,"Ross, didn't you say that there was an elevator in here?",neutral,neutral,neutral tone and question,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,2,2_2,Ross,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,anger,frustration and disappointment,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,3,2_3,Ross,"Okay, go left. Left! Left!",surprise,neutral,neutral tone and instruction,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,4,2_4,Rachel,"Okay, y'know what? There is no more left, left!",anger,anger,frustration and disagreement,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,5,2_5,Ross,"Oh okay, lift it straight up over your head!",anger,neutral,neutral tone and instruction,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,6,2_6,Ross,Straight up over your head!,anger,neutral,neutral tone and repetition,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,7,2_7,Ross,You can do it!,joy,joy,encouragement and excitement,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,8,2_8,Ross,You can do it!,joy,joy,encouragement and excitement,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,9,2_9,Ross,Okay.,neutral,neutral,neutral tone and phrase,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
2,10,2_10,Ross,You got it?,neutral,joy,excitement and accomplishment,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and phrase""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and question""},
    {""utterance_id"": 2, ""predicted_emotion"": ""anger"", ""reasoning"": ""frustration and"
6,0,6_0,Joey,Previously on Friends.,neutral,neutral,"neutral context, introduction","{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral context, introduction""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral context, conversation""},
    {""utterance_id"": 2, ""predicted_emotion"": ""surprise"", ""reasoning"": ""ex"
6,1,6_1,Monica,I dont know exactly. Its-its sorta like wrestling.,neutral,neutral,"neutral context, conversation","{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral context, introduction""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral context, conversation""},
    {""utterance_id"": 2, ""predicted_emotion"": ""surprise"", ""reasoning"": ""ex"
6,2,6_2,Phoebe,Oh?!,surprise,surprise,exclamation mark and tone,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral context, introduction""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral context, conversation""},
    {""utterance_id"": 2, ""predicted_emotion"": ""surprise"", ""reasoning"": ""ex"
4,0,4_0,Phoebe,Ohh!,surprise,surprise,exclamation mark and high-pitched tone,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,1,4_1,Monica,What?,neutral,neutral,neutral tone and questioning,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,2,4_2,Phoebe,It kicked! I think the baby kicked!,surprise,joy,excitement and positive tone,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,3,4_3,Monica,Oh my God!,surprise,surprise,exclamation mark and high-pitched tone,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,4,4_4,Phoebe,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,sadness,negative tone and mention of a problem,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,5,4_5,Joey,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,anger,frustration and urgency,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,6,4_6,Monica,"Oh wait, Joey, you cant go like that! You stink!",disgust,anger,disapproval and criticism,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,7,4_7,Joey,"Look, I know I feel asleep before I could shower and now I dont have time!",anger,anger,frustration and desperation,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
4,8,4_8,Joey,"Theyre just ten blocks away, if I run, I can make it.",neutral,anger,urgency and determination,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""surprise"", ""reasoning"": ""exclamation mark and high-pitched tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone and questioning""},
    {""utterance_id"": 2, ""predicted_emotion"": ""joy"", ""reasoning"":"
5,0,5_0,Chandler,Youre coming on to the entire room!  Im Chandler.,anger,anger,anger tone in the phrase 'You're coming on to the entire room',"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,1,5_1,Chandler,Hi.,neutral,neutral,neutral tone in the greeting,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,2,5_2,Marjorie,Hi.,neutral,neutral,neutral tone in the greeting,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,3,5_3,Chandler,You mind if I,neutral,neutral,neutral tone in the question,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,4,5_4,Marjorie,"No, please.",neutral,neutral,neutral tone in the response,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,5,5_5,Chandler,"So uh, what are you in for?",neutral,neutral,neutral tone in the question,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,6,5_6,Marjorie,I talk in my sleep.,neutral,surprise,surprise at the unusual habit,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,7,5_7,Chandler,"What a coincidence, I listen in my sleep.",neutral,surprise,surprise at the coincidence,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
5,8,5_8,Joey,So why dont you give me your number?,neutral,joy,excitement and playfulness in the request,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""anger"", ""reasoning"": ""anger tone in the phrase 'You're coming on to the entire room'""},
    {""utterance_id"": 1, ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone in the greeting""},
    {""utterance_id"": 2, ""predicted_emotion"""
7,0,7_0,Monica,"Yeah, but without the costumes.",neutral,neutral,"neutral tone, no strong emotion expressed","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,1,7_1,Phoebe,Oh.,neutral,neutral,"neutral tone, no strong emotion expressed","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,2,7_2,Joey,"And its not fake, its totally brutal.",neutral,anger,"strong language and tone, implies intense emotion","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,3,7_3,Chandler,"Yeah, its two guys in a ring, and the rules are: Theyre",neutral,neutral,"neutral tone, describing a scene","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,4,7_4,Monica,"So you can like, bite, and pull peoples hair and stuff?",surprise,surprise,expresses surprise at the rules of the fight,"{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,5,7_5,Ross,"Yeah, anything goes, except ah, eye gouging and fish hooking.",neutral,neutral,"neutral tone, listing exceptions to the rules","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,6,7_6,Monica,Whats fish hooking?,surprise,curiosity,"asks for clarification, shows interest","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,7,7_7,Ross,"Huh, whats fish hooking...   Thanks man, that would have been really hard to describe. What is that taste?",neutral,amusement,"joking tone, playful language","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
7,8,7_8,Joey,"What? My hands are totally clean, I just gave the duck a bath.",neutral,anger,"defensive tone, implies annoyance","{
  ""predictions"": [
    {""utterance_id"": ""0"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""1"", ""predicted_emotion"": ""neutral"", ""reasoning"": ""neutral tone, no strong emotion expressed""},
    {""utterance_id"": ""2"", ""predicted_emotion"""
8,0,8_0,Jade,"Oh, Bob, he was nothing compared to you. I had to bite my lip to keep from screaming your name.",sadness,joy,positive sentiment and enthusiastic tone,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
8,1,8_1,Chandler,"Well, that makes me feel so good.",joy,joy,sarcastic tone and playful language,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
8,2,8_2,Jade,It was just so awkward and bumpy.,neutral,sadness,negative sentiment and description of an unpleasant experience,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
8,3,8_3,Ross,Bumpy?,surprise,surprise,reacting to Jade's description of the experience,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
8,4,8_4,Chandler,"Well, maybe he had some kind of uh, new, cool style, that you're not familiar with.",neutral,neutral,deflecting Jade's criticism with a neutral statement,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
8,5,8_5,Chandler,And uh maybe you have to get used to it.,neutral,neutral,attempting to downplay Jade's criticism,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
8,6,8_6,Jade,"Well there really wasn't much time to get used to it, you know what I mean?",joy,sadness,expressing frustration and disappointment,"{
  ""predictions"": [
    {""utterance_id"": 0, ""predicted_emotion"": ""joy"", ""reasoning"": ""positive sentiment and enthusiastic tone""},
    {""utterance_id"": 1, ""predicted_emotion"": ""joy"", ""reasoning"": ""sarcastic tone and playful language""},
    {""utterance_id"": 2, ""predicted_emotion"": ""sadness"", ""reasoni"
