Dialogue_ID,Recognition_ID,Speaker,Utterance,Actual_Emotion,predicted_emotion,confidence,outcome,winning_agent,vote_plain,vote_linguistic,vote_context,reason_plain,reason_linguistic,reason_context,arbitrator_reasoning
9,9_1,Monica,"Oh well, its not so bad.",neutral,neutral,0.6667,unanimous,majority,neutral,neutral,neutral,,,,
9,9_2,Fireman #1,"Yeah, most of the damage is pretty mostly contained in the bedrooms.",sadness,neutral,0.9891,unanimous,majority,neutral,neutral,neutral,,,,
9,9_3,Phoebe,Oh!,surprise,neutral,0.6667,unanimous,majority,neutral,neutral,neutral,,,,
9,9_4,Rachel,My God!,surprise,neutral,0.5,arbitrated,unknown,neutral,fear,surprise,,,,
9,9_5,Joey,"Hey buddy, do you think I can borrow your uniform this Thursday?",neutral,neutral,0.6667,unanimous,majority,neutral,neutral,neutral,,,,
9,9_6,Fireman #1,Excuse me?,surprise,surprise,0.775,majority,majority,surprise,neutral,surprise,,,,
9,9_7,Monica,Joey! Hes working!  You would look,anger,anger,0.1301,majority,majority,anger,anger,neutral,,,,
9,9_8,Joey,"Oh, how bad is it?",sadness,surprise,0.9,majority,majority,neutral,surprise,surprise,,,,
9,9_9,Phoebe,"Oh, its bad. Its really bad. The only thing in there that isnt burned is an ass. Which I do",sadness,neutral,0.5,arbitrated,unknown,sadness,disgust,neutral,,,,
9,9_10,Chandler,Hows your room Rach?,neutral,neutral,0.3333,unanimous,majority,neutral,neutral,neutral,,,,
9,9_11,Rachel,Everythings ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,neutral,0.5,majority,majority,neutral,neutral,sadness,,,,
9,9_12,Monica,Isnt that mine?,neutral,neutral,0.75,majority,majority,neutral,neutral,surprise,,,,
9,9_13,Rachel,Fine! Im sorry for your loss!,anger,anger,0.6667,unanimous,majority,anger,anger,anger,,,,
9,9_14,Fireman #1,"So uh, youre not gonna be able to live here for a while, you ladies have a place to stay?",neutral,neutral,1.0,majority,majority,neutral,neutral,sadness,,,,
9,9_15,Rachel,"Wow! Oh-okay, look pal, I am",joy,surprise,0.655,majority,majority,surprise,surprise,neutral,,,,
9,9_16,Monica,"Yes, they can stay with us.",neutral,neutral,0.5,majority,majority,joy,neutral,neutral,,,,
9,9_17,Chandler,Have you figured out what started the fire Mr. Fireman?,neutral,neutral,0.745,majority,majority,neutral,neutral,anger,,,,
13,13_0,Roger,Oh.,neutral,neutral,0.61,unanimous,majority,neutral,neutral,neutral,,,,
13,13_1,Phoebe,"But I don't. Me, Phoebe.",neutral,sadness,0.69,majority,majority,sadness,anger,sadness,,,,
13,13_2,Roger,"Well, I'm not I'm not at all surprised they feel that way.",neutral,neutral,0.5,arbitrated,unknown,joy,neutral,surprise,,,,
13,13_3,Phoebe,"You're not? See, that's why you're so great!",surprise,joy,0.4667,unanimous,majority,joy,joy,joy,,,,
13,13_4,Roger,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.",neutral,neutral,0.66,unanimous,majority,neutral,neutral,neutral,,,,
13,13_5,Roger,"Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me!",anger,neutral,0.5,arbitrated,unknown,anger,neutral,disgust,,,,
13,13_6,Roger,Define me!,anger,disgust,0.5,majority,majority,neutral,disgust,disgust,,,,
13,13_7,Roger,"Love me, I need love!",anger,neutral,0.5,arbitrated,unknown,sadness,disgust,anger,,,,
14,14_0,Phoebe,Have you really done this before?,surprise,surprise,0.635,majority,majority,neutral,surprise,surprise,,,,
14,14_1,Joey,Yeah!,joy,neutral,1.0,majority,majority,neutral,joy,neutral,,,,
14,14_2,Joey,Yeah!,joy,neutral,0.95,majority,majority,neutral,neutral,surprise,,,,
14,14_3,Joey,Yeah!,joy,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
14,14_4,Joey,"You just take a big, big swing.",neutral,neutral,0.5,arbitrated,unknown,neutral,anger,surprise,,,,
14,14_5,Joey,"Now, dont hold back.",neutral,neutral,0.5,majority,majority,joy,neutral,neutral,,,,
14,14_6,Phoebe,Hey!,joy,neutral,0.5,majority,majority,joy,neutral,neutral,,,,
14,14_7,Joey,Hey-hey-hey!,joy,joy,1.0,majority,majority,joy,joy,neutral,,,,
14,14_8,Chandler,What are you doing?,neutral,neutral,0.75,majority,majority,neutral,neutral,surprise,,,,
14,14_9,Phoebe,Were just celebrating that Joey got his health insurance back.,joy,joy,1.0,unanimous,majority,joy,joy,joy,,,,
14,14_10,Chandler,"Oh, all right.",neutral,neutral,0.7904,unanimous,majority,neutral,neutral,neutral,,,,
12,12_0,Ross,"Whats all this about you guys fighting?! Is this really over a room?! I mean, that is so silly!",anger,neutral,0.5,arbitrated,unknown,joy,neutral,fear,,,,
12,12_1,Monica,"Ross, we can handle this.",neutral,neutral,0.92,unanimous,majority,neutral,neutral,neutral,,,,
12,12_2,Ross,"Well, apparently not, and I cant just stand by and watch two people I care about very much be hurt over something that is so silly.",sadness,anger,0.714,majority,majority,anger,anger,sadness,,,,
12,12_3,Ross,"I mean, enough of the silliness!",anger,anger,0.9,majority,majority,neutral,anger,anger,,,,
12,12_4,Chandler,"Well, why dont you tell her to stop being silly!",anger,anger,0.5,majority,majority,anger,neutral,anger,,,,
12,12_5,Ross,Okay-okay!,anger,neutral,0.3333,unanimous,majority,neutral,neutral,neutral,,,,
12,12_6,Ross,"Two very good points, look Ive known you both a long time, and Ive never seen either of you one/millionth as happy as youve been since youve got together.",sadness,joy,0.9,majority,majority,neutral,joy,joy,,,,
12,12_7,Ross,Do you really want to throw that all away over a room?,sadness,neutral,0.5,arbitrated,unknown,joy,neutral,sadness,,,,
12,12_8,Ross,That is so silly.,joy,neutral,0.75,majority,majority,joy,neutral,neutral,,,,
12,12_9,Ross,"Now wh-what is more important, love or silliness?",neutral,joy,0.0,majority,majority,joy,joy,neutral,,,,
12,12_10,Chandler,"Well, we are fond of the silliness, but we also have a soft spot for the love.",neutral,joy,0.75,majority,majority,joy,joy,neutral,,,,
12,12_11,Monica,Love is the best medicine.,joy,joy,0.915,majority,majority,neutral,joy,joy,,,,
12,12_12,Chandler,Thats laughter.,joy,joy,1.0,majority,majority,joy,joy,neutral,,,,
12,12_13,Monica,Why do you do it?,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
12,12_14,Chandler,I dont know.,neutral,neutral,0.75,majority,majority,neutral,anger,neutral,,,,
12,12_15,Ross,"Okay! All right! Now, Chandler you-you wanna live with Monica, right?",neutral,neutral,0.75,majority,majority,neutral,surprise,neutral,,,,
12,12_16,Chandler,"Yeah, I do.",neutral,joy,0.453,unanimous,majority,joy,joy,joy,,,,
12,12_17,Ross,"And Mon, you wanna live with Chandler, dont ya?",neutral,neutral,1.0,majority,majority,joy,neutral,neutral,,,,
12,12_18,Monica,Yes.,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
12,12_19,Ross,Good! A verbal contract is binding in the state of New York!,joy,neutral,0.8267,unanimous,majority,neutral,neutral,neutral,,,,
15,15_0,Phoebe,"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you.",joy,fear,0.5333,unanimous,majority,fear,fear,fear,,,,
15,15_1,Gary,Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.,joy,neutral,0.5,arbitrated,unknown,anger,neutral,fear,,,,
15,15_2,Phoebe,Okay!,joy,neutral,0.5,majority,majority,neutral,fear,neutral,,,,
15,15_3,Phoebe,Bye!,neutral,neutral,0.5,arbitrated,unknown,neutral,anger,fear,,,,
15,15_4,Joey,Bye!,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
15,15_5,Joey,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,anger,anger,0.9333,unanimous,majority,anger,anger,anger,,,,
18,18_0,Rachel,"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",neutral,disgust,0.9,majority,majority,neutral,disgust,disgust,,,,
18,18_1,Joey,"All right, then you'd better show me some of that too then.",neutral,neutral,0.5,arbitrated,unknown,joy,neutral,anger,,,,
18,18_2,Rachel,"Okay, it's missing something. Ooh, I know! Umm, okay.",neutral,neutral,0.5,majority,majority,neutral,neutral,surprise,,,,
19,19_0,Joey,Really? A purse?,surprise,surprise,0.46,unanimous,majority,surprise,surprise,surprise,,,,
16,16_0,Monica,"Hey, Joey, could you pass the cheese?",neutral,joy,0.5,majority,majority,joy,neutral,joy,,,,
16,16_1,Joey,"Listen uh, Id prefer it if you didnt call me Joey.",neutral,anger,0.9,majority,majority,neutral,anger,anger,,,,
16,16_2,Joey,"Since I dont know anyone here, I thought itd be cool to try out a cool work nickname.",neutral,neutral,0.75,majority,majority,joy,neutral,neutral,,,,
16,16_3,A Waiter,"Hey, dragon! Heres your tips from Monday and Tuesday.",neutral,neutral,0.5,majority,majority,surprise,neutral,neutral,,,,
16,16_4,Joey,Theres like-theres like 300 bucks in this one!,surprise,joy,0.9973,unanimous,majority,joy,joy,joy,,,,
16,16_5,The Waiter,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.",neutral,joy,0.935,majority,majority,joy,joy,surprise,,,,
16,16_6,Monica,Could the waiters gather around to hear tonights specials?,neutral,neutral,0.8,majority,majority,joy,neutral,neutral,,,,
16,16_7,Monica,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bagWhy is nobody writing these down?",neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
16,16_8,The Waiter,Because we can remember them.,neutral,neutral,0.8333,unanimous,majority,neutral,neutral,neutral,,,,
16,16_9,Monica,Because your all gonna make up fake specials and make me cook them like you did the other night?,anger,anger,0.9,majority,majority,neutral,anger,anger,,,,
21,21_0,Phoebe,"So, um, have you told your parents?",neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
21,21_1,Duncan,"No, but it'll be OK, they're pretty cool, my brother's straight so. . .",neutral,neutral,0.6,unanimous,majority,neutral,neutral,neutral,,,,
21,21_2,Phoebe,Here you go.,neutral,neutral,0.3333,unanimous,majority,neutral,neutral,neutral,,,,
21,21_3,Phoebe,"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",neutral,neutral,0.7,majority,majority,neutral,neutral,sadness,,,,
21,21_4,Phoebe,"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.",sadness,sadness,0.85,majority,majority,sadness,sadness,neutral,,,,
21,21_5,Duncan,I love you Phoebe.,joy,joy,0.5997,unanimous,majority,joy,joy,joy,,,,
21,21_6,Phoebe,So your brother's straigh huh? Seriously.,surprise,anger,0.452,majority,majority,neutral,anger,anger,,,,
20,20_0,Rachel,It's not a purse! It's a shoulder bag.,anger,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
20,20_1,Joey,It looks like a women's purse.,neutral,disgust,0.8,arbitrated,unknown,joy,neutral,disgust,,,,
20,20_2,Rachel,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,",neutral,neutral,0.75,majority,majority,neutral,joy,neutral,,,,
20,20_3,Joey,"See look,",neutral,neutral,0.0,majority,majority,neutral,neutral,surprise,,,,
20,20_4,Rachel,Exactly! Unisex!,neutral,neutral,0.75,majority,majority,neutral,joy,neutral,,,,
20,20_5,Joey,Maybe you need sex.,neutral,disgust,0.65,majority,majority,surprise,disgust,disgust,,,,
20,20_6,Rachel,No! No Joey! U-N-I-sex.,joy,disgust,1.0,arbitrated,unknown,surprise,neutral,disgust,,,,
20,20_7,Joey,"Well, I ain't gonna say no to that.",neutral,joy,1.0,majority,majority,joy,joy,surprise,,,,
23,23_0,Rachel,Hi!,joy,joy,0.8,majority,majority,neutral,joy,joy,,,,
23,23_1,Danny,So you like the short hair better.,neutral,neutral,1.0,majority,majority,joy,neutral,neutral,,,,
23,23_2,Rachel,What? YetiI mean Danny?,neutral,surprise,0.75,majority,majority,neutral,surprise,surprise,,,,
24,24_0,Phoebe,Can I tell you a little secret?,neutral,neutral,0.5,majority,majority,joy,neutral,neutral,,,,
24,24_1,Rachel,Yeah!,joy,neutral,0.5,majority,majority,neutral,neutral,surprise,,,,
24,24_2,Phoebe,I want to keep one.,neutral,neutral,0.74,majority,majority,neutral,neutral,surprise,,,,
24,24_3,Rachel,"Ohh, I'm gonna be on the news!",joy,joy,0.73,majority,majority,joy,surprise,joy,,,,
17,17_0,Ross,Hey. When you guys were kids and you played,neutral,neutral,0.6933,unanimous,majority,neutral,neutral,neutral,,,,
17,17_1,Monica,I was always Joanne.,neutral,neutral,0.6333,unanimous,majority,neutral,neutral,neutral,,,,
17,17_2,Joey,"Question. Was ah, Egg the Gellers! the war cry of your neighbourhood?",neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
17,17_3,Phoebe,Ewww! Oh! Its the Mattress King!,disgust,disgust,0.835,majority,majority,disgust,neutral,disgust,,,,
17,17_4,Chandler,Dont look honey. Change the channel! Change the channel!,disgust,anger,0.965,majority,majority,anger,anger,disgust,,,,
17,17_5,Janice,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine.",joy,surprise,1.0,majority,majority,surprise,surprise,anger,,,,
17,17_6,Chandler,What a wank!,anger,disgust,0.5,majority,majority,anger,disgust,disgust,,,,
17,17_7,Janice,"Oh, I cannot believe hes using our divorce to sell mattresses.",anger,disgust,1.0,arbitrated,unknown,anger,neutral,disgust,,,,
17,17_8,Monica,I know!,anger,neutral,1.0,majority,majority,neutral,neutral,anger,,,,
17,17_9,Monica,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.",anger,neutral,0.5,arbitrated,unknown,neutral,anger,disgust,,,,
17,17_10,Monica,And Im appalled for you by the way.,anger,anger,0.0,majority,majority,neutral,anger,anger,,,,
17,17_11,Rachel,"You had to do it, didnt you? You couldnt just leave it alone.",sadness,anger,0.5667,unanimous,majority,anger,anger,anger,,,,
17,17_12,Ross,Four percent. Okay. I tip more than that when theres a bug in my food.,disgust,neutral,0.5,arbitrated,unknown,neutral,anger,disgust,,,,
17,17_13,Rachel,"Ross, tonight was about the two of you getting along.  Oh, would you just see my chiropractor, already.",anger,anger,0.6,unanimous,majority,anger,anger,anger,,,,
17,17_14,Ross,"Yeah, Im gonna go to a doctor who went to school in a mini-mall.",disgust,anger,0.0,arbitrated,unknown,neutral,anger,disgust,,,,
17,17_15,Ross,"Hey Pheebs, what are you doing?",neutral,neutral,0.9333,unanimous,majority,neutral,neutral,neutral,,,,
17,17_16,Phoebe,"Im, Im freaking out!",fear,fear,0.75,majority,majority,sadness,fear,fear,,,,
17,17_17,Phoebe,Monica kinda trusted me with something and she shouldnt have!,fear,anger,0.25,majority,majority,anger,anger,surprise,,,,
17,17_18,Phoebe,"All right, I havent lived here in a while, so I have to ask you something.",neutral,neutral,0.3667,unanimous,majority,neutral,neutral,neutral,,,,
17,17_19,Phoebe,Does Monica still turn on the lights in her bedroom?,neutral,neutral,0.0,majority,majority,surprise,neutral,neutral,,,,
17,17_20,Rachel,Um. yeah.,neutral,neutral,0.6667,unanimous,majority,neutral,neutral,neutral,,,,
17,17_21,Phoebe,I am,neutral,neutral,1.0,majority,majority,joy,neutral,neutral,,,,
17,17_22,Rachel,"All right, look, heres the bottom line Ross, this is fixable, if we act fast, okay.",neutral,neutral,1.0,majority,majority,neutral,neutral,surprise,,,,
17,17_23,Rachel,"So, Ill invite him to brunch tomorrow and you can make nice.",neutral,neutral,0.7461,majority,majority,neutral,joy,neutral,,,,
17,17_24,Ross,"Look, honey, I have tried to make nice, it doesnt work.",anger,neutral,0.5,arbitrated,unknown,joy,anger,sadness,,,,
17,17_25,Rachel,"Okay, look, Ross, I realise that my Father is difficult, but thats why you have got to be the bigger man here.",neutral,neutral,0.5,majority,majority,neutral,anger,neutral,,,,
17,17_26,Ross,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldnt make any difference, except that I could pick your Father up and say Like me!",anger,anger,0.5573,unanimous,majority,anger,anger,anger,,,,
17,17_27,Ross,Like me tiny doctor!,anger,neutral,0.5,majority,majority,neutral,neutral,anger,,,,
17,17_28,Rachel,"Okay, well cant you just try it one more time Ross? For me? For me?",sadness,joy,0.0,majority,majority,neutral,joy,joy,,,,
17,17_29,Ross,"Rachel one brunch is not gonna solve anything. You gotta face it, okay were never gonna get along.",anger,sadness,0.6355,majority,majority,sadness,sadness,neutral,,,,
17,17_30,Rachel,"Okay, well you are just gonna have too, okay.",anger,sadness,0.8,arbitrated,unknown,neutral,anger,sadness,,,,
17,17_31,Rachel,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I dont wanna have to have a separate room for you too!",anger,anger,0.99,majority,majority,anger,anger,neutral,,,,
17,17_32,Ross,"Okay, okay, okay.  Ill get the bagels.",neutral,neutral,0.8333,unanimous,majority,neutral,neutral,neutral,,,,
26,26_0,Joey,Hey I got one! I got one!,joy,joy,0.85,majority,majority,neutral,joy,joy,,,,
27,27_0,Man,Hi!,joy,neutral,1.0,majority,majority,neutral,joy,neutral,,,,
27,27_1,Phoebe,Hi.,neutral,neutral,0.5,unanimous,majority,neutral,neutral,neutral,,,,
22,22_0,Chandler,Hey!,joy,neutral,0.6667,unanimous,majority,neutral,neutral,neutral,,,,
22,22_1,Monica,Hi.,neutral,neutral,0.65,majority,majority,joy,neutral,neutral,,,,
22,22_2,Chandler,"I just came over to drop offnothing. So that weekend kinda sucked, huh?",neutral,sadness,0.9,majority,majority,sadness,sadness,anger,,,,
22,22_3,Monica,"Yeah, it did.",joy,sadness,0.81,majority,majority,sadness,neutral,sadness,,,,
22,22_4,Chandler,"So, I guess this is over.",sadness,sadness,0.7571,unanimous,majority,sadness,sadness,sadness,,,,
22,22_5,Monica,What?,neutral,neutral,0.5,arbitrated,unknown,neutral,sadness,surprise,,,,
22,22_6,Chandler,"Well, y'know, you and me, it had to end sometime.",sadness,sadness,0.5,majority,majority,neutral,sadness,sadness,,,,
22,22_7,Monica,"Why, exactly?",surprise,sadness,0.8,majority,majority,sadness,neutral,sadness,,,,
22,22_8,Chandler,"Because of the weekend, we had a fight.",sadness,neutral,0.5,arbitrated,unknown,neutral,sadness,anger,,,,
