Dialogue_ID,Recognition_ID,Speaker,Utterance,Actual_Emotion,predicted_emotion,confidence,reasoning,shift_flag,mental_state_raw,linguistic_signal_tag
2,2_1,Rachel,"Ross, didn't you say that there was an elevator in here?",neutral,anger,0.9,"The Micro-Linguistic Analysis's 'Linguistic Tone: AGGRESSIVE' and 'Latent Sentiment: NEGATIVE' strongly indicate anger or strong frustration. The negative interrogative structure 'didn't you say' also implies a perceived discrepancy or challenge, further aligning with an aggressive tone and negative sentiment.",FALSE,"```json
{
  ""immediate_intent"": ""Rachel is seeking clarification or confirmation regarding Ross's prior statement about the presence of an elevator."",
  ""internal_state"": ""Rachel appears neutral and focused on obtaining factual information."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum""",UNKNOWN
2,2_2,Ross,"Uhh, yes I did but there isn't. Okay, here we go.",sadness,sadness,0.9,"The LaERC's 'internal_state' reports 'discomfort and mild embarrassment due to a factual error, followed by a determined resignation to proceed,' strongly aligning with sadness. The Micro-Linguistic Analysis reinforces this with 'Negative Surface and Latent Sentiment' and a 'pragmatic disconnect' (contradiction/problem), which are typical triggers for sadness. The Vulnerability Gate also indicates that Sadness/Fear are 'MORE likely' given the 'SAFE/SUPPORTIVE' relationship dynamic.",FALSE,"```json
{
  ""immediate_intent"": ""To admit a factual error and initiate a transition to addressing the problem or finding an alternative."",
  ""internal_state"": ""Experiencing discomfort and mild embarrassment due to a factual error, followed by a determined resignation to proceed."",
  ""surface_vs_subt",WITHDRAWN/VULNERABLE
2,2_3,Ross,"Okay, go left. Left! Left!",surprise,fear,0.95,"Micro-Linguistic Analysis explicitly identifies 'potential danger,' 'frantic demand,' and 'stress' contributing to a negative latent sentiment, which strongly aligns with Fear. Temporal Shift Detection confirms a 'significant increase in urgency and directiveness' and a 'Baseline Arousal spike from neutral to high,' further indicating a high-arousal, negative state consistent with Fear.",TRUE,"```json
{
  ""immediate_intent"": ""To direct the group's movement and re-assert control after admitting a mistake."",
  ""internal_state"": ""Feeling a sense of urgency and a desire to take control, likely stemming from mild stress or embarrassment about his prior error."",
  ""surface_vs_subtext"": ""aligned",AGGRESSIVE
2,2_4,Rachel,"Okay, y'know what? There is no more left, left!",anger,anger,0.95,"The LaERC `internal_state` explicitly identifies Rachel as 'frustrated, exasperated, and angry,' and the Micro-Linguistic Analysis highlights an 'AGGRESSIVE' `LINGUISTIC TONE` with strong emphasis, directly supporting anger. Furthermore, the utterance closely matches the retrieved anchor example 'Ball? There is no ball.', which is classified as ANGER.",FALSE,"```json
{
  ""immediate_intent"": ""To express frustration and anger at being given repeated incorrect directions."",
  ""internal_state"": ""Frustrated, exasperated, and angry due to the impossible instructions."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalating""
}
```",AGGRESSIVE
2,2_5,Ross,"Oh okay, lift it straight up over your head!",anger,anger,0.9,"Micro-Linguistic Analysis reports a 'LINGUISTIC TONE: AGGRESSIVE' and 'Arousal: Very High', combined with a direct imperative command and exclamation mark. Temporal Shift Detection states 'Ross's commanding and assertive response... directly escalates the negative dynamic'.",TRUE,"```json
{
  ""immediate_intent"": ""To give a neutral instruction for a neutral action, pivoting from a previous instruction that was challenged."",
  ""internal_state"": ""Neutral, focused on the task, not outwardly reacting to Rachel's frustration."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_moment",AGGRESSIVE
2,2_6,Ross,Straight up over your head!,anger,anger,0.95,"Micro-Linguistic Analysis explicitly states 'LINGUISTIC TONE: AGGRESSIVE' and 'Latent Sentiment: Negative (superiority, disdain, confrontational),' along with a 'Matrix Arousal: 9/10' and an exclamation mark indicating strong emotion and challenge. Dynamic Mental State (LaERC) further reinforces this by identifying the 'internal_state' as 'Intensely frustrated, angry, sarcastic, and feels cornered or helpless,' and 'emotional_momentum' as 'escalating,' directly pointing to anger and frustration.",FALSE,"```json
{
  ""immediate_intent"": ""Express extreme frustration, anger, and sarcasm, likely in response to being challenged and cornered by Rachel's anger over his previous mistake."",
  ""internal_state"": ""Intensely frustrated, angry, sarcastic, and feels cornered or helpless."",
  ""surface_vs_subtext"": ",AGGRESSIVE
2,2_7,Ross,You can do it!,joy,joy,0.95,"The Micro-Linguistic Analysis identifies the exclamation mark as a 'strong intensifier, elevating the statement from a simple factual observation to a forceful, enthusiastic, and confident affirmation,' and notes the 'LINGUISTIC TONE: AGGRESSIVE' (interpreted as forceful, assertive encouragement). Additionally, the Temporal Shift Detection highlights an 'EMOTIONAL PIVOT DETECTED' where the same speaker shifts from neutral instructions to a 'clearly positive and encouraging tone,' and the Dynamic Mental State (LaERC) confirms 'immediate_intent: To encourage and motivate' and 'internal_state: Focused, supportive, and determined, aiming to inspire confidence,' with 'emotional_momentum: escalating.'",TRUE,"```json
{
  ""immediate_intent"": ""To encourage and motivate someone to overcome a perceived block and continue with a task."",
  ""internal_state"": ""Focused, supportive, and determined, aiming to inspire confidence."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalating""
}
```",AGGRESSIVE
2,2_8,Ross,You can do it!,joy,joy,0.9,"Micro-Linguistic Analysis notes positive keywords ('can do it'), an exclamation mark (!), high arousal (8/10), and positive surface and latent sentiment. LaERC confirms an 'optimistic, supportive, and positive' internal state with 'emotional momentum: escalating,' indicating a strong positive sentiment.",FALSE,"```json
{
  ""immediate_intent"": ""To encourage and motivate Rachel to lift an object straight up, expressing belief in her ability."",
  ""internal_state"": ""Optimistic, supportive, and positive, having shifted from previous demanding directions."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentu",AGGRESSIVE
2,2_9,Ross,Okay.,neutral,neutral,0.95,"The Micro-Linguistic Analysis Tone for 'Okay.' is explicitly 'NEUTRAL'. This is strongly supported by the LaERC internal_state, which is 'Neutral' and indicates 'de-escalating' emotional momentum, and the Temporal Shift signal 'SHIFT: TRUE', which emphasizes the heavy weighting of these current-turn signals after a drop from positive valence.",TRUE,"```json
{
  ""immediate_intent"": ""To acknowledge the current situation or the previous statement from Rachel, indicating a neutral acceptance or a slight pause in the ongoing activity."",
  ""internal_state"": ""Neutral, with a slight decrease in the intense positive energy previously expressed, moving t",NEUTRAL
2,2_10,Ross,You got it?,neutral,neutral,0.98,The Micro-Linguistic Analysis explicitly states 'LINGUISTIC TONE: NEUTRAL' and highlights 'Arousal: 1 (Very low)' and 'Surface Sentiment: Neutral'. This aligns with the Dynamic Mental State (LaERC) which identifies an 'internal_state: Neutral' and 'emotional_momentum: de-escalating'.,FALSE,"```json
{
  ""immediate_intent"": ""To neutrally inquire about the successful completion or understanding of a previously given instruction or encouragement."",
  ""internal_state"": ""Neutral, indicating a focused and perhaps slightly expectant neutrality after a period of positive encouragement."",
  ""sur",NEUTRAL
3,3_0,Steve,"Oh, okay, I get it.",neutral,neutral,0.95,"The Micro-Linguistic Analysis concludes with a [LINGUISTIC TONE: NEUTRAL], citing calm acknowledgement, low arousal (2/10), and neutral surface and latent sentiment for 'Oh, okay, I get it.' This is strongly supported by the Retrieved Similar Examples, which are all classified as NEUTRAL for similar utterances. The Dynamic Mental State (LaERC) also aligns with neutral, describing 'a sense of sudden clarity and understanding, potentially accompanied by a mild feeling of relief or satisfaction,' which, in the MELD context, does not indicate strong positive emotion like joy and is fully compatible with neutral.",FALSE,"```json
{
  ""immediate_intent"": ""Acknowledge comprehension and understanding of a previously unclear point or situation."",
  ""internal_state"": ""A sense of sudden clarity and understanding, potentially accompanied by a mild feeling of relief or satisfaction."",
  ""surface_vs_subtext"": ""aligned"",
  ""em",NEUTRAL
3,3_1,Ross,"No wait, look. Look! I'm sorry, it's just I've never even",fear,fear,0.9,"Temporal Shift Detection explicitly identifies a shift to 'fear and apology', indicating fear is a dominant emotion. Micro-Linguistic Analysis' fine-grained analysis highlights 'fear of judgment, shame, inexperience, or the overwhelming nature of the emotion itself' as contributing to the trailing off, further supporting fear and vulnerability.",TRUE,"```json
{
  ""immediate_intent"": ""To apologize for an unstated offense and urgently explain the circumstances or reasons for his distress."",
  ""internal_state"": ""Regret, guilt, distress, and a sense of urgency."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknown""
}
```",WITHDRAWN/VULNERABLE
3,3_2,Steve,Howard's the,neutral,neutral,0.95,"The Temporal Shift Detection identifies a significant shift to neutral, indicating Steve's utterance is neutral after Ross's prior negative state. Additionally, the Micro-Linguistic Analysis reports a neutral tone, low arousal, and neutral sentiment, strongly supporting a neutral classification for this utterance.",TRUE,"```json
{
  ""immediate_intent"": ""Neutral continuation of thought or neutral observation, without a strong specific intent like comfort or assertion."",
  ""internal_state"": ""Neutral, possibly processing the previous apology or preparing a neutral continuation of the discussion."",
  ""surface_vs_subtext",NEUTRAL
3,3_3,Ross,"Yes but too me he's just, man.",neutral,neutral,0.95,"The Micro-Linguistic Analysis indicates a 'NEUTRAL' linguistic tone and 'Neutral to Slightly Disengaged/Limited Perspective' latent sentiment, supported by neutral lexical choices and low arousal. The LaERC internal_state confirms a 'Neutral and stable' emotional state for Ross in this turn, aligning with the 'NEUTRAL' labels from the retrieved similar examples and the absence of a temporal shift.",FALSE,"```json
{
  ""immediate_intent"": ""To neutrally state his perception of Howard, possibly as a baseline or after a previous emotional outburst."",
  ""internal_state"": ""Neutral and stable, having likely processed or moved past the immediate negative emotions of fear and regret from his prior statement."",",UNKNOWN
3,3_4,Steve,"Okay, fine, whatever. Welcome to the building.",anger,anger,0.95,"The Micro-Linguistic Analysis describes the tone as 'AGGRESSIVE (via dismissal/unwelcome)' and identifies 'whatever' as the 'most dominant emotional signal' strongly indicating a negative attitude. The Relational Vulnerability Analysis also indicates a '[RELATIONSHIP DYNAMIC: DEFENSIVE]' stance from the speaker, reinforcing a strong negative emotional expression.",FALSE,"```json
{
  ""immediate_intent"": ""Expressing resigned acceptance and providing a neutral, albeit somewhat indifferent, welcome."",
  ""internal_state"": ""A state of resigned indifference, possibly bordering on mild disappointment or negative sentiment."",
  ""surface_vs_subtext"": ""misaligned"",
  ""emotiona",AGGRESSIVE (via dismissal/unwelcome)
3,3_5,Ross,"Ugh, can you believe that guy!",disgust,disgust,0.95,"The utterance explicitly uses 'Ugh', which is a strong, direct signal for disgust as shown in the anchor examples and Micro-Linguistic analysis. Furthermore, LaERC's 'internal_state' explicitly lists 'disgust' as a core feeling, and the 'aggressive tone' reinforces this intense negative sentiment.",TRUE,"```json
{
  ""immediate_intent"": ""Ross is expressing his negative opinion and disgust towards 'that guy', seeking shared understanding or validation."",
  ""internal_state"": ""Ross is feeling intense annoyance, disgust, and frustration towards another individual."",
  ""surface_vs_subtext"": ""aligned"",
  """,AGGRESSIVE
3,3_6,Phoebe,Yeah. I really like his glasses.,neutral,joy,0.9,Micro-Linguistic Analysis indicates a 'POSITIVE/ENTHUSIASTIC' tone with 'High arousal (8/10)' and a direct expression of positive sentiment ('really like'). Temporal Shift Detection shows a 'TRUE' shift to positive emotion.,TRUE,"```json
{
  ""immediate_intent"": ""To share a neutral positive observation about a person's appearance."",
  ""internal_state"": ""Neutral and calm, expressing minor admiration for an object, detached from prior negative emotional states."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""stabl",POSITIVE/ENTHUSIASTIC
4,4_0,Phoebe,Ohh!,surprise,surprise,0.9,"LaERC's `internal_state` explicitly states 'Phoebe is experiencing a moment of surprise, realization, or sudden understanding,' directly suggesting SURPRISE. This is further supported by the Micro-Linguistic Analysis, which notes high arousal and the '!' punctuation mark, indicating a strong emotional reaction, and the 'Ohh!' interjection itself is polysemous and listed as a 'SURPRISE' example in the retrieved data.",FALSE,"```json
{
  ""immediate_intent"": ""To express sudden understanding or reaction to new information, or to acknowledge something."",
  ""internal_state"": ""Phoebe is experiencing a moment of surprise, realization, or sudden understanding."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknow",WITHDRAWN/VULNERABLE
4,4_1,Monica,What?,neutral,neutral,0.9,"Based on the Micro-Linguistic Analysis indicating a neutral tone and the Dynamic Mental State confirming a neutral internal state, and heavily weighted by the Temporal Shift prioritizing current signals over prior examples, the emotion is neutral.",TRUE,"```json
{
  ""immediate_intent"": ""To seek clarification or information regarding Phoebe's exclamation."",
  ""internal_state"": ""Neutral and awaiting information, without strong emotional bias."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknown""
}
```",NEUTRAL
4,4_2,Phoebe,It kicked! I think the baby kicked!,surprise,joy,0.98,"The LaERC's 'internal_state' identifies 'intense joy, excitement, and a sense of wonder,' and the 'Micro-Linguistic Tone' is explicitly labeled as 'JOYFUL/EXCITED,' both indicating a strong positive emotion. The 'Temporal Shift Detection' shows a significant positive shift in arousal and valence, further emphasizing the intensity and positive nature of the current turn's emotion.",TRUE,"```json
{
  ""immediate_intent"": ""Phoebe is sharing a joyous and surprising event related to her pregnancy."",
  ""internal_state"": ""Phoebe is experiencing intense joy, excitement, and a sense of wonder."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""escalating""
}
```",JOYFUL/EXCITED
4,4_3,Monica,Oh my God!,surprise,joy,0.98,"LaERC's `internal_state` explicitly states Monica is feeling 'an overwhelming sense of joy, wonder, and profound happiness,' which is further supported by `surface_vs_subtext` being 'aligned' and `emotional_momentum` 'escalating.' The Micro-Linguistic Analysis highlights 'very high intensity' and 'strong positive sentiment' through 'Oh my God!' and triple exclamation marks, reinforcing the strong positive emotional expression.",FALSE,"```json
{
  ""immediate_intent"": ""Monica is expressing intense surprise and positive emotion in response to the news of a baby kicking."",
  ""internal_state"": ""Monica is feeling an overwhelming sense of joy, wonder, and profound happiness."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": """,AGGRESSIVE
4,4_4,Phoebe,"Oh no wait, oh no, the elastic on my underwear busted.",neutral,fear,0.95,"The Micro-Linguistic Analysis indicates high arousal and the repeated 'Oh no' suggests intense distress and negative surprise, while the Relational Vulnerability Analysis explicitly identifies 'panic and fear' as the emotion expressed within the SAFE/SUPPORTIVE relationship dynamic.",TRUE,"```json
{
  ""immediate_intent"": ""To share an unexpected minor personal inconvenience or problem that contrasts with previous positive news."",
  ""internal_state"": ""Experiencing mild annoyance or frustration due to a minor personal mishap, temporarily interrupting previous peak joy."",
  ""surface_vs_su",WITHDRAWN/VULNERABLE
4,4_5,Joey,Oh my God! I overslept! I was supposed to be on the set a half an hour ago! I gotta get out of here!,fear,fear,0.95,"The Temporal Shift Detection indicates an emotional pivot, and the Micro-Linguistic Analysis identifies extreme panic, frantic urgency, and intense fear of repercussions, with high arousal (Matrix: 10). LaERC's internal_state explicitly confirms 'intense fear, anxiety,' and the Relational Vulnerability Analysis highlights Joey's direct expression of palpable fear to a safe listener.",TRUE,"```json
{
  ""immediate_intent"": ""To express extreme panic and an urgent need to depart due to a critical professional oversight."",
  ""internal_state"": ""He is experiencing intense fear, anxiety, and self-reproach over being severely late for a professional commitment."",
  ""surface_vs_subtext"": ""align",WITHDRAWN/VULNERABLE
4,4_6,Monica,"Oh wait, Joey, you cant go like that! You stink!",disgust,disgust,0.98,"The Micro-Linguistic Analysis strongly indicates disgust due to the use of the word 'stink!', aggressive tone, and exclamation marks. This is further corroborated by Monica's Dynamic Mental State (LaERC), which explicitly states her internal state as 'Disgusted and offended by Joey's smell'.",TRUE,"```json
{
  ""immediate_intent"": ""To prevent Joey from leaving immediately due to an issue with his personal hygiene and to inform him of the problem."",
  ""internal_state"": ""Disgusted and offended by Joey's smell, with a sense of urgency to correct the situation."",
  ""surface_vs_subtext"": ""aligned"",
",AGGRESSIVE
4,4_7,Joey,"Look, I know I feel asleep before I could shower and now I dont have time!",anger,fear,0.95,"The LaERC's 'internal_state' explicitly indicates 'panic' and 'overwhelmed,' which are strong indicators of FEAR. This is further reinforced by the Vulnerability Gate, which states 'Sadness/Fear are MORE likely' in a 'SAFE/SUPPORTIVE' relationship dynamic.",FALSE,"```json
{
  ""immediate_intent"": ""To explain his predicament of being late and smelly, acknowledge his fault, and express his urgent need to depart."",
  ""internal_state"": ""High levels of stress, panic, guilt, and a sense of being overwhelmed by the situation."",
  ""surface_vs_subtext"": ""aligned"",
  ""e",AGGRESSIVE
4,4_8,Joey,"Theyre just ten blocks away, if I run, I can make it.",neutral,fear,0.9,"The LaERC's internal_state signal indicates 'Intense determination driven by high stress and anxiety about his lateness,' highlighting an underlying negative emotional state. The Vulnerability Gate confirms that 'Sadness/Fear are MORE likely than the surface suggests' due to the SAFE/SUPPORTIVE relational dynamic and Joey's previous expression of panic, indicating Fear is the driving force behind his pragmatic plan.",FALSE,"```json
{
  ""immediate_intent"": ""To explain his plan to reach the set quickly despite his current disadvantages (being late, smelling bad)."",
  ""internal_state"": ""Intense determination driven by high stress and anxiety about his lateness, focused on urgent problem-solving."",
  ""surface_vs_subtext"": ",NEUTRAL
5,5_0,Chandler,Youre coming on to the entire room!  Im Chandler.,anger,anger,0.98,"The 'Micro-Linguistic Analysis' highlights the 'AGGRESSIVE' Linguistic Tone, 'Exclamatory sentence' (Syntactic) indicating strong emotion, and 'High arousal, Negative sentiment (anger, jealousy)' (Matrix). The 'Temporal Shift Detection' explicitly identifies 'EMOTIONAL PIVOT DETECTED' moving to a 'strong negative accusation with high arousal'. The 'Dynamic Mental State (LaERC)' confirms 'Chandler is feeling intense anger and jealousy' and 'intense anger and accusation', with surface and subtext 'aligned'.",TRUE,"```json
{
  ""immediate_intent"": ""Chandler is trying to express intense anger and accusation towards another person's perceived flirtatious behavior, while also asserting their own identity in a confrontational manner."",
  ""internal_state"": ""Chandler is feeling intense anger and jealousy due to someo",AGGRESSIVE
5,5_1,Chandler,Hi.,neutral,anger,0.9,"Despite the neutral Micro-Linguistic Tone and immediate intent, the Dynamic Mental State (LaERC) indicates a 'misaligned' surface vs. subtext, with an 'internal_state' of 'tense and guarded, possibly still feeling underlying resentment or jealousy'. The Relational Vulnerability Analysis identifies the dynamic as 'DEFENSIVE', which suggests an Anger or Disgust mask is probable, aligning with the internal state's mention of resentment and jealousy after an accusatory previous utterance.",TRUE,"```json
{
  ""immediate_intent"": ""Neutral acknowledgment after an outburst, likely to avoid further conflict or mask negative emotions."",
  ""internal_state"": ""Tense and guarded, possibly still feeling underlying resentment or jealousy from the previous accusation."",
  ""surface_vs_subtext"": ""misaligne",NEUTRAL
5,5_2,Marjorie,Hi.,neutral,neutral,0.95,"The Micro-Linguistic Analysis explicitly states the utterance is 'neutral, low-arousal, with no high-emotion keywords' and the Linguistic Tone is 'NEUTRAL'. The Dynamic Mental State indicates Marjorie's 'internal_state' is 'Neutral, calm' and 'surface_vs_subtext' is 'aligned', further confirming neutrality. The Relational Vulnerability Analysis, stating '[RELATIONSHIP DYNAMIC: DEFENSIVE]' due to a lack of openness with a stranger, is consistent with a neutral, guarded emotional expression.",FALSE,"```json
{
  ""immediate_intent"": ""To acknowledge a neutral greeting and continue the interaction in a neutral manner."",
  ""internal_state"": ""Neutral, calm, or at a baseline emotional state."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum"": ""unknown""
}
```",NEUTRAL
5,5_3,Chandler,You mind if I,neutral,neutral,0.98,"The Micro-Linguistic Analysis clearly states the utterance 'You mind if I' has a 'neutral' linguistic tone and 'neutral' surface and latent sentiment. This aligns with the Dynamic Mental State's 'immediate_intent' of 'neutral inquiry or neutral request' and 'surface_vs_subtext' being 'aligned'. While the Relational Vulnerability Analysis indicates a 'DEFENSIVE' dynamic for the first interaction between strangers, this describes the overall interpersonal posture, not the immediate emotion of the specific target utterance itself, which is definitively neutral.",FALSE,"```json
{
  ""immediate_intent"": ""Neutral inquiry or neutral request, potentially to engage further or act within the environment."",
  ""internal_state"": ""Neutral, potentially cautious, with residual tension from a previous emotional outburst."",
  ""surface_vs_subtext"": ""aligned"",
  ""emotional_momentum",NEUTRAL
